,STOCK,CODE
507,Bedmutha Industries Ltd.,BOM533270
508,Beekay Steel Industries Ltd,BOM539018
509,Beeyu Overseas Ltd.,BOM532645
510,Bell Agromachina Ltd.,BOM531112
511,Bella Casa Fashion & Retail Ltd,BOM539399
512,Bemco Hydraulics Ltd.,BOM522650
513,Beml Ltd.,BOM500048
514,Benares Hotels Ltd.,BOM509438
515,Bengal & Assam Company Ltd.,BOM533095
516,Bengal Tea & Fabrics Ltd.,BOM532230
517,Bentley Commercial Enterprises Ltd.,BOM512195
518,Benzo Petro International Ltd.,BOM524737
519,Berger Paints India Ltd.,BOM509480
520,Bervin Investment & Leasing Ltd.,BOM531340
521,Beryl Drugs Ltd.,BOM524606
522,Beryl Securities Ltd.,BOM531582
523,Best & Crompton Engg.ltd.,BOM500046
524,Best Eastern Hotels Ltd.,BOM508664
525,Beta-kappa Investments Ltd.,BOM531481
526,Betex India Ltd.,BOM512477
527,Bf Investment Ltd.,BOM533303
528,Bf Utilities Ltd,BOM532430
529,Bgil Films & Technologies Ltd.,BOM511664
530,Bgr Energy Systems Ltd.,BOM532930
531,Bhagawati Gas Limited,BOM500051
532,Bhageria Industries Ltd,BOM530803
533,Bhagiradha Chemicals & Industries Ltd.,BOM531719
534,Bhagwandas Metals Ltd.,BOM530095
535,Bhagwati Autocast Ltd.,BOM504646
536,Bhagwati Oxygen Ltd.,BOM509449
537,Bhagyanagar India Ltd.,BOM512296
538,Bhagyashree Leasing & Finance Ltd.,BOM511698
539,Bhagyodaya Infrastructure Development Ltd,BOM501233
540,Bhandari Hosiery Exports Ltd.,BOM512608
541,Bhanderi Infracon Ltd,BOM538576
542,Bhanot Construction & Housing Ltd.,BOM534740
543,Bhansali Engineering Polymers Ltd,BOM500052
544,Bharat Agri Fert & Realty Ltd.,BOM531862
545,Bharat Bhushan Share & Commodity Brokers Ltd.,BOM511501
546,Bharat Bijlee Ltd,BOM503960
547,Bharat Electronics Ltd.,BOM500049
548,Bharat Forge Ltd.,BOM500493
549,Bharat Gears Ltd.,BOM505688
550,Bharat Heavy Electricals Ltd.,BOM500103
551,Bharat Immunologicals & Biologicals Corporation Ltd,BOM524663
552,Bharat Petroleum Corporation Ltd.,BOM500547
553,Bharat Rasayan Ltd.,BOM590021
554,Bharat Seats Ltd,BOM523229
555,Bharat Textiles & Proofing Industries Ltd.,BOM531029
556,Bharati Shipyard Ltd.,BOM532609
557,Bharatiya Global Infomedia Ltd.,BOM533499
558,Bharti Airtel Ltd.,BOM532454
559,Bharti Infratel Ltd.,BOM534816
560,Bhartiya International Ltd.,BOM526666
561,Bheema Cements Ltd.,BOM518017
562,Bhilwara Spinners Ltd.,BOM514272
563,Bhilwara Technical Textiles Ltd.,BOM533108
564,Bhilwara Tex-fin Ltd.,BOM530879
565,Bhoruka Aluminium Ltd.,BOM506027
566,Bhushan Steel Ltd.,BOM500055
567,Bhuwalka Steel Industries Ltd,BOM513333
568,Bihar Sponge Iron Ltd.,BOM500058
569,Bijlee Textiles Ltd.,BOM512313
570,Bijoy Hans Ltd.,BOM524723
571,Bil Energy Systems Ltd.,BOM533321
572,Bilcare Ltd,BOM526853
573,Bilpower Ltd.,BOM531590
574,Bimetal Bearings Ltd,BOM505681
575,Binani Industries Ltd.,BOM500059
576,Binayak Tex Processors Ltd.,BOM523054
577,Binny Ltd.,BOM514215
578,Binny Mills Ltd.,BOM535620
579,Bio Green Papers Ltd,BOM534535
580,Biocon Ltd.,BOM532523
581,Biofil Chemicals & Pharmaceuticals Ltd.,BOM524396
582,Biopac India Corporation Ltd,BOM532330
583,Birdhi Chand Pannalal Agencies Ltd,BOM538364
584,Birla Capital & Financial Services Ltd.,BOM512332
585,Birla Corporation Ltd.,BOM500335
586,Birla Cotsyn (india) Ltd.,BOM533006
587,Birla Ericsson Optical Ltd.,BOM500060
588,Birla Pacific Medspa Ltd.,BOM533469
589,Birla Power Solutions Ltd,BOM517001
590,Birla Precision Technologies Ltd.,BOM522105
591,Birla Shloka Edutech Ltd.,BOM511607
592,Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Dividend Payout,BOM538758
593,Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth,BOM538757
594,Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Dividend Payout,BOM538756
595,Birla Sun Life Focused Equity Fund - Series 3- Regular Plan - Growth,BOM538755
596,Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Dividend Payout,BOM538844
597,Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth,BOM538843
598,Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Dividend Payout,BOM538842
599,Birla Sun Life Focused Equity Fund - Series 4- Regular Plan - Growth,BOM538841
600,Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Dividend Payout,BOM539055
601,Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Growth,BOM539054
602,Birla Sun Life Focused Equity Fund - Series 5 - Regular Plan - Dividend Payout,BOM539053
603,Birla Sun Life Focused Equity Fund - Series 5- Regular Plan - Growth,BOM539052
604,Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Dividend Payout,BOM539423
605,Birla Sun Life Focused Equity Fund- Series 6- Direct Plan- Growth,BOM539422
606,Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Dividend Payout,BOM539421
607,Birla Sun Life Focused Equity Fund- Series 6- Regular Plan- Growth,BOM539420
